content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
aneh waktu buka qris jak lingko muncul peringatan (tejadi kesalahan sistem) mending kalian yang mau naik tj pakai kartu elektronik aja atau aplikasi tije dah,1,0,1.6.5,2024-05-20 05:00:31,"Halo kak Kevin Marsion terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-20 14:50:34,"['aneh', 'waktu', 'buka', 'qris', 'jak', 'lingko', 'muncul', 'peringatan', '(', 'tejadi', 'kesalahan', 'sistem', ')', 'mending', 'kalian', 'yang', 'mau', 'naik', 'tj', 'pakai', 'kartu', 'elektronik', 'aja', 'atau', 'aplikasi', 'tije', 'dah']","['aneh', 'buka', 'qris', 'jak', 'lingko', 'muncul', 'peringatan', '(', 'tejadi', 'kesalahan', 'sistem', ')', 'mending', 'tj', 'pakai', 'kartu', 'elektronik', 'aplikasi', 'tije', 'dah']","['aneh', 'buka', 'qris', 'jak', 'lingko', 'muncul', 'ingat', '', 'tejadi', 'salah', 'sistem', '', 'mending', 'tj', 'pakai', 'kartu', 'elektronik', 'aplikasi', 'tije', 'dah']",aneh buka qris jak lingko muncul ingat  tejadi salah sistem  mending tj pakai kartu elektronik aplikasi tije dah
"paling buruk dalam sejarah di dunia manapun, angkot kok perbandingannya 1:100, gimana nih, mentang mentang gratis terus seenaknya bikin layanan publik apa, memang yg naik gratis, tapi kan biaya operasionalnya ditanggung pajak",1,0,1.6.5,2024-05-18 12:36:54,"Halo kak RYE terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-18 14:29:59,"['paling', 'buruk', 'dalam', 'sejarah', 'di', 'dunia', 'manapun', ',', 'angkot', 'kok', 'perbandingannya', '1:100', ',', 'gimana', 'nih', ',', 'mentang', 'mentang', 'gratis', 'terus', 'seenaknya', 'bikin', 'layanan', 'publik', 'apa', ',', 'memang', 'yg', 'naik', 'gratis', ',', 'tapi', 'kan', 'biaya', 'operasionalnya', 'ditanggung', 'pajak']","['buruk', 'sejarah', 'dunia', 'manapun', 'angkot', 'perbandingannya', '1:100', 'gimana', 'nih', 'mentang', 'mentang', 'gratis', 'bikin', 'layanan', 'publik', 'gratis', 'biaya', 'operasionalnya', 'ditanggung', 'pajak']","['buruk', 'sejarah', 'dunia', 'mana', 'angkot', 'banding', '1 100', 'gimana', 'nih', 'mentang', 'mentang', 'gratis', 'bikin', 'layan', 'publik', 'gratis', 'biaya', 'operasional', 'tanggung', 'pajak']",buruk sejarah dunia mana angkot banding 1 100 gimana nih mentang mentang gratis bikin layan publik gratis biaya operasional tanggung pajak
"daripada bikin aplikasi model ginian, mnding armadanya aja ditambah sih, inisaban weekend malah dikurangin",1,0,,2024-05-18 10:09:25,"Halo kak Daffarel P. Y. terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-18 14:30:34,"['daripada', 'bikin', 'aplikasi', 'model', 'ginian', ',', 'mnding', 'armadanya', 'aja', 'ditambah', 'sih', ',', 'inisaban', 'weekend', 'malah', 'dikurangin']","['bikin', 'aplikasi', 'model', 'ginian', 'mnding', 'armadanya', 'ditambah', 'inisaban', 'weekend', 'dikurangin']","['bikin', 'aplikasi', 'model', 'ginian', 'mnding', 'armada', 'tambah', 'inisaban', 'weekend', 'rangin']",bikin aplikasi model ginian mnding armada tambah inisaban weekend rangin
"developer gabut, cuma cari komisi proyek. apk terlalu berat/besar. sebesar apapun ram hp + wifi/speed besar, digunakannya lemooot banget. sering posisi kendaraan tidak real time dst...dst...",1,17,1.6.5,2024-05-15 23:46:27,"Halo kak harri susanto terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-16 15:50:17,"['developer', 'gabut', ',', 'cuma', 'cari', 'komisi', 'proyek', '.', 'apk', 'terlalu', 'berat/besar', '.', 'sebesar', 'apapun', 'ram', 'hp', '+', 'wifi/speed', 'besar', ',', 'digunakannya', 'lemooot', 'banget', '.', 'sering', 'posisi', 'kendaraan', 'tidak', 'real', 'time', 'dst', '...', 'dst', '...']","['developer', 'gabut', 'cari', 'komisi', 'proyek', 'apk', 'berat/besar', 'apapun', 'ram', 'hp', '+', 'wifi/speed', 'digunakannya', 'lemooot', 'banget', 'posisi', 'kendaraan', 'real', 'time', 'dst', '...', 'dst', '...']","['developer', 'gabut', 'cari', 'komisi', 'proyek', 'apk', 'berat besar', 'apa', 'ram', 'hp', '', 'wifi speed', 'guna', 'lemooot', 'banget', 'posisi', 'kendara', 'real', 'time', 'dst', '', 'dst', '']",developer gabut cari komisi proyek apk berat besar apa ram hp  wifi speed guna lemooot banget posisi kendara real time dst  dst 
"pagi ini suami saya di tabrak angkot jak lingko dan tidak bertanggung jawab, please lah jak lingko kan ngga ngejar setoran klo bawa mobil ga usah ngebut ngebut",1,0,1.6.5,2024-05-14 00:27:59,"Hi Kak ani, kami informasikan untuk armada Mikrotrans dikelola sepenuhnya oleh Transjakarta ya kak. Sbg informasi, JakLingko Indonesia merupakan sistem integrasi pembayaran transportasi DKI Jakarta yang mengelola Aplikasi Transportasi Terintegrasi untuk memesan tiket naik transportasi umum MRT Jakarta,LRT Jakarta,Transjakarta & KRL",2024-05-14 13:53:28,"['pagi', 'ini', 'suami', 'saya', 'di', 'tabrak', 'angkot', 'jak', 'lingko', 'dan', 'tidak', 'bertanggung', 'jawab', ',', 'please', 'lah', 'jak', 'lingko', 'kan', 'ngga', 'ngejar', 'setoran', 'klo', 'bawa', 'mobil', 'ga', 'usah', 'ngebut', 'ngebut']","['pagi', 'suami', 'tabrak', 'angkot', 'jak', 'lingko', 'bertanggung', 'please', 'jak', 'lingko', 'ngga', 'ngejar', 'setoran', 'klo', 'bawa', 'mobil', 'ngebut', 'ngebut']","['pagi', 'suami', 'tabrak', 'angkot', 'jak', 'lingko', 'tanggung', 'please', 'jak', 'lingko', 'ngga', 'ngejar', 'setor', 'klo', 'bawa', 'mobil', 'ngebut', 'ngebut']",pagi suami tabrak angkot jak lingko tanggung please jak lingko ngga ngejar setor klo bawa mobil ngebut ngebut
"aplikasi ribet, scam, saldo ewallet udah kepotong, lama banget proses nya udah berbulan-bulan ngajuin pengembalian dana, ga balik balik",1,0,,2024-05-11 05:32:56,"Halo kak Bojone Aimer terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-13 14:49:34,"['aplikasi', 'ribet', ',', 'scam', ',', 'saldo', 'ewallet', 'udah', 'kepotong', ',', 'lama', 'banget', 'proses', 'nya', 'udah', 'berbulan-bulan', 'ngajuin', 'pengembalian', 'dana', ',', 'ga', 'balik', 'balik']","['aplikasi', 'ribet', 'scam', 'saldo', 'ewallet', 'kepotong', 'banget', 'proses', 'berbulan-bulan', 'ngajuin', 'pengembalian', 'dana']","['aplikasi', 'ribet', 'scam', 'saldo', 'ewallet', 'potong', 'banget', 'proses', 'bulan', 'ngajuin', 'kembali', 'dana']",aplikasi ribet scam saldo ewallet potong banget proses bulan ngajuin kembali dana
keren,5,0,,2024-05-07 09:07:03,,,['keren'],['keren'],['keren'],keren
"sering tiket tidak muncul, ketika dilaporkan minim respon",3,0,1.6.5,2024-05-06 13:56:31,"Halo kak Yolanda Fernando Padang terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-13 14:52:27,"['sering', 'tiket', 'tidak', 'muncul', ',', 'ketika', 'dilaporkan', 'minim', 'respon']","['tiket', 'muncul', 'dilaporkan', 'minim', 'respon']","['tiket', 'muncul', 'lapor', 'minim', 'respon']",tiket muncul lapor minim respon
ok,5,0,,2024-05-06 09:43:10,,,['ok'],[],[],
"kalau buat qr tiru aplikasi tije, dari mana pun bisa di tap",1,0,1.6.5,2024-05-05 07:44:40,"Halo kak Benni Simarmata terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-05 14:02:35,"['kalau', 'buat', 'qr', 'tiru', 'aplikasi', 'tije', ',', 'dari', 'mana', 'pun', 'bisa', 'di', 'tap']","['qr', 'tiru', 'aplikasi', 'tije', 'tap']","['qr', 'tiru', 'aplikasi', 'tije', 'tap']",qr tiru aplikasi tije tap
"tolong supir jaklingko kalo memang ga niat kerja resign aja mendingan!!!! mentang2 kami naik gratis, pelayananmu kyk kotoran hewan!!! najis",1,0,,2024-05-04 10:30:33,"Halo kak Julia Lovin terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-05-05 14:04:15,"['tolong', 'supir', 'jaklingko', 'kalo', 'memang', 'ga', 'niat', 'kerja', 'resign', 'aja', 'mendingan', '!', '!', '!', '!', 'mentang2', 'kami', 'naik', 'gratis', ',', 'pelayananmu', 'kyk', 'kotoran', 'hewan', '!', '!', '!', 'najis']","['tolong', 'supir', 'jaklingko', 'niat', 'kerja', 'resign', 'mendingan', '!', '!', '!', '!', 'mentang2', 'gratis', 'pelayananmu', 'kyk', 'kotoran', 'hewan', '!', '!', '!', 'najis']","['tolong', 'supir', 'jaklingko', 'niat', 'kerja', 'resign', 'mending', '', '', '', '', 'mentang2', 'gratis', 'layan', 'kyk', 'kotor', 'hewan', '', '', '', 'najis']",tolong supir jaklingko niat kerja resign mending     mentang2 gratis layan kyk kotor hewan    najis
"pengemudi mobil nya banyak ugal-ugalan, pada males banget mau ambil penumpang cepet doang buat apa kalo ga ambil penumpang?",1,1,1.6.5,2024-05-01 08:08:52,"Hi Kak Izmi, kami informasikan untuk armada Mikrotrans dikelola sepenuhnya oleh Transjakarta ya kak. Sbg informasi, JakLingko Indonesia merupakan sistem integrasi pembayaran transportasi DKI Jakarta yang mengelola Aplikasi Transportasi Terintegrasi untuk memesan tiket naik transportasi umum MRT Jakarta,LRT Jakarta,Transjakarta & KRL",2024-05-01 14:34:15,"['pengemudi', 'mobil', 'nya', 'banyak', 'ugal-ugalan', ',', 'pada', 'males', 'banget', 'mau', 'ambil', 'penumpang', 'cepet', 'doang', 'buat', 'apa', 'kalo', 'ga', 'ambil', 'penumpang', '?']","['pengemudi', 'mobil', 'ugal-ugalan', 'males', 'banget', 'ambil', 'penumpang', 'cepet', 'doang', 'ambil', 'penumpang', '?']","['kemudi', 'mobil', 'ugal-ugalan', 'males', 'banget', 'ambil', 'tumpang', 'cepet', 'doang', 'ambil', 'tumpang', '']",kemudi mobil ugal-ugalan males banget ambil tumpang cepet doang ambil tumpang 
aplikasi sampah gabisa topup saldo,1,0,1.6.4,2024-04-26 07:21:40,"Halo kak The Legion terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-26 14:48:52,"['aplikasi', 'sampah', 'gabisa', 'topup', 'saldo']","['aplikasi', 'sampah', 'gabisa', 'topup', 'saldo']","['aplikasi', 'sampah', 'gabisa', 'topup', 'saldo']",aplikasi sampah gabisa topup saldo
semoga bermanfaat buat saya pensiunan guru,4,0,1.6.4,2024-04-23 04:18:43,,,"['semoga', 'bermanfaat', 'buat', 'saya', 'pensiunan', 'guru']","['semoga', 'bermanfaat', 'pensiunan', 'guru']","['moga', 'manfaat', 'pensiun', 'guru']",moga manfaat pensiun guru
jelek sekali,1,0,1.6.1,2024-04-22 03:38:59,"Halo kak Fauzy Syaputra terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-23 13:16:21,"['jelek', 'sekali']",['jelek'],['jelek'],jelek
"di perbaikin lbh baik dong. menyusahkan bgt. 1 halte namanya beda"" dan scan susah terbaca. petugas ga smuanya sigap",3,1,1.6.4,2024-04-20 10:58:05,"Halo kak Silviyani Windiantika terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-21 12:59:02,"['di', 'perbaikin', 'lbh', 'baik', 'dong', '.', 'menyusahkan', 'bgt', '.', '1', 'halte', 'namanya', 'beda', ""''"", 'dan', 'scan', 'susah', 'terbaca', '.', 'petugas', 'ga', 'smuanya', 'sigap']","['perbaikin', 'lbh', 'menyusahkan', 'halte', 'namanya', 'beda', ""''"", 'scan', 'susah', 'terbaca', 'petugas', 'smuanya', 'sigap']","['perbaikin', 'lbh', 'susah', 'halte', 'nama', 'beda', '', 'scan', 'susah', 'baca', 'tugas', 'smuanya', 'sigap']",perbaikin lbh susah halte nama beda  scan susah baca tugas smuanya sigap
kadang error repot,3,0,1.6.4,2024-04-20 04:56:54,"Halo kak Hendry Louw terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-21 13:00:06,"['kadang', 'error', 'repot']","['kadang', 'error', 'repot']","['kadang', 'error', 'repot']",kadang error repot
fateh sarah sofia poniman papa,5,0,,2024-04-20 02:51:11,,,"['fateh', 'sarah', 'sofia', 'poniman', 'papa']","['fateh', 'sarah', 'sofia', 'poniman', 'papa']","['fateh', 'sarah', 'sofia', 'poniman', 'papa']",fateh sarah sofia poniman papa
gak jelas . tolong di perbaiki supirnya sortir lagi,2,0,1.6.4,2024-04-19 07:56:19,"Halo kak Dedy Dores terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-21 13:00:59,"['gak', 'jelas', '.', 'tolong', 'di', 'perbaiki', 'supirnya', 'sortir', 'lagi']","['tolong', 'perbaiki', 'supirnya', 'sortir']","['tolong', 'baik', 'supirnya', 'sortir']",tolong baik supirnya sortir
ok,5,0,,2024-04-18 05:32:49,,,['ok'],[],[],
"tolong di perbaiki dong sistemnya. nyusahin banget, gw beli tiket jaklingko dari halte kemayoran udh slesai pembaran malah berubah rute nya jauh banget ke halte pasar baru timur. 2x dalam wkt 15 menit gw beliblagi gitu juga aneh bgt woy",1,9,1.6.4,2024-04-16 04:44:06,"Halo kak Eza Valentine terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-17 14:48:57,"['tolong', 'di', 'perbaiki', 'dong', 'sistemnya', '.', 'nyusahin', 'banget', ',', 'gw', 'beli', 'tiket', 'jaklingko', 'dari', 'halte', 'kemayoran', 'udh', 'slesai', 'pembaran', 'malah', 'berubah', 'rute', 'nya', 'jauh', 'banget', 'ke', 'halte', 'pasar', 'baru', 'timur', '.', '2x', 'dalam', 'wkt', '15', 'menit', 'gw', 'beliblagi', 'gitu', 'juga', 'aneh', 'bgt', 'woy']","['tolong', 'perbaiki', 'sistemnya', 'nyusahin', 'banget', 'beli', 'tiket', 'jaklingko', 'halte', 'kemayoran', 'slesai', 'pembaran', 'berubah', 'rute', 'banget', 'halte', 'pasar', 'timur', '2x', 'wkt', '15', 'menit', 'beliblagi', 'gitu', 'aneh', 'woy']","['tolong', 'baik', 'sistem', 'nyusahin', 'banget', 'beli', 'tiket', 'jaklingko', 'halte', 'mayor', 'slesai', 'bar', 'ubah', 'rute', 'banget', 'halte', 'pasar', 'timur', '2x', 'wkt', '15', 'menit', 'beliblagi', 'gitu', 'aneh', 'woy']",tolong baik sistem nyusahin banget beli tiket jaklingko halte mayor slesai bar ubah rute banget halte pasar timur 2x wkt 15 menit beliblagi gitu aneh woy
perbaiki performa tracking bus tije dong. minimal bisa setara trafi dulu. saya yakin aplikasi ini bakal lebih berguna,3,0,,2024-04-06 02:41:26,"Hi Kak Ade Hilman, terima kasih telah menggunakan JakLingko App dan maaf banget bikin kamu kecewa. Kami ingin memahami kendala kamu, mohon bantuannya untuk menginformasikan detail kendala yang dimaksud melalui Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-08 14:07:52,"['perbaiki', 'performa', 'tracking', 'bus', 'tije', 'dong', '.', 'minimal', 'bisa', 'setara', 'trafi', 'dulu', '.', 'saya', 'yakin', 'aplikasi', 'ini', 'bakal', 'lebih', 'berguna']","['perbaiki', 'performa', 'tracking', 'bus', 'tije', 'minimal', 'setara', 'trafi', 'aplikasi', 'berguna']","['baik', 'performa', 'tracking', 'bus', 'tije', 'minimal', 'tara', 'trafi', 'aplikasi', 'guna']",baik performa tracking bus tije minimal tara trafi aplikasi guna
gak layak aplikasi nya,1,0,1.6.4,2024-04-05 02:12:49,"Halo kak Arne Fino terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-05 14:34:41,"['gak', 'layak', 'aplikasi', 'nya']","['layak', 'aplikasi']","['layak', 'aplikasi']",layak aplikasi
jujur aja ya sebenarnya aplikasi ini bagus.. bisa beli tiket transportasi umum pakai tarif integrasi jdi lebih murah.. tapi ada 1 kelemahan aplikasi ini yang benar benar krusial yaitu tentang pemilihan lokasi yang kurang akurat dan kurangnya update halte halte tertentu.. terkadang saya bingung.. soalnya saya pernah scan qr di mesin tap.. dan ternyata bukan dihalte itu. padahal jelas jelas di tulisannya disitu ya itu aja si keluh kesah saya cmiiw,3,8,1.6.4,2024-04-01 15:44:15,"Hi Kak Rizky Haikal, terima kasih telah menggunakan JakLingko App dan maaf banget bikin kamu kecewa. Kami ingin memahami kendala kamu, mohon bantuannya untuk menginformasikan detail kendala yang dimaksud melalui Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-05 14:39:20,"['jujur', 'aja', 'ya', 'sebenarnya', 'aplikasi', 'ini', 'bagus', '..', 'bisa', 'beli', 'tiket', 'transportasi', 'umum', 'pakai', 'tarif', 'integrasi', 'jdi', 'lebih', 'murah', '..', 'tapi', 'ada', '1', 'kelemahan', 'aplikasi', 'ini', 'yang', 'benar', 'benar', 'krusial', 'yaitu', 'tentang', 'pemilihan', 'lokasi', 'yang', 'kurang', 'akurat', 'dan', 'kurangnya', 'update', 'halte', 'halte', 'tertentu', '..', 'terkadang', 'saya', 'bingung', '..', 'soalnya', 'saya', 'pernah', 'scan', 'qr', 'di', 'mesin', 'tap', '..', 'dan', 'ternyata', 'bukan', 'dihalte', 'itu', '.', 'padahal', 'jelas', 'jelas', 'di', 'tulisannya', 'disitu', 'ya', 'itu', 'aja', 'si', 'keluh', 'kesah', 'saya', 'cmiiw']","['jujur', 'aplikasi', 'bagus', '..', 'beli', 'tiket', 'transportasi', 'pakai', 'tarif', 'integrasi', 'jdi', 'murah', '..', 'kelemahan', 'aplikasi', 'krusial', 'pemilihan', 'lokasi', 'akurat', 'kurangnya', 'update', 'halte', 'halte', '..', 'terkadang', 'bingung', '..', 'scan', 'qr', 'mesin', 'tap', '..', 'dihalte', 'tulisannya', 'disitu', 'si', 'keluh', 'kesah', 'cmiiw']","['jujur', 'aplikasi', 'bagus', '', 'beli', 'tiket', 'transportasi', 'pakai', 'tarif', 'integrasi', 'jdi', 'murah', '', 'lemah', 'aplikasi', 'krusial', 'pilih', 'lokasi', 'akurat', 'kurang', 'update', 'halte', 'halte', '', 'terkadang', 'bingung', '', 'scan', 'qr', 'mesin', 'tap', '', 'halte', 'tulis', 'situ', 'si', 'keluh', 'kesah', 'cmiiw']",jujur aplikasi bagus  beli tiket transportasi pakai tarif integrasi jdi murah  lemah aplikasi krusial pilih lokasi akurat kurang update halte halte  terkadang bingung  scan qr mesin tap  halte tulis situ si keluh kesah cmiiw
"sumpah ya allah aplikasi yang bikin orang emosi👎👎gue pernah di halte blok m, mau tap out aja lama banget, udah gitu petugasnya gaada👎",1,0,1.6.4,2024-04-01 00:51:53,"Halo kak Veronika Reso terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-04-04 14:08:58,"['sumpah', 'ya', 'allah', 'aplikasi', 'yang', 'bikin', 'orang', 'emosi👎👎gue', 'pernah', 'di', 'halte', 'blok', 'm', ',', 'mau', 'tap', 'out', 'aja', 'lama', 'banget', ',', 'udah', 'gitu', 'petugasnya', 'gaada👎']","['sumpah', 'allah', 'aplikasi', 'bikin', 'orang', 'emosi👎👎gue', 'halte', 'blok', 'm', 'tap', 'out', 'banget', 'gitu', 'petugasnya', 'gaada👎']","['sumpah', 'allah', 'aplikasi', 'bikin', 'orang', 'emosi gue', 'halte', 'blok', 'm', 'tap', 'out', 'banget', 'gitu', 'tugas', 'gaada']",sumpah allah aplikasi bikin orang emosi gue halte blok m tap out banget gitu tugas gaada
aplikadi update apa perasaan bisa pake tije 1a ke pantai maju eh ini mah kaga bisa jadi aplikasi lucu padahal jaklingko bisa mikrotik dan tije masa gak bisa baca untuk pergi kemana,1,1,1.6.4,2024-03-30 20:33:28,"Halo kak sanmiowd mandiwakl terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-03-31 14:04:56,"['aplikadi', 'update', 'apa', 'perasaan', 'bisa', 'pake', 'tije', '1a', 'ke', 'pantai', 'maju', 'eh', 'ini', 'mah', 'kaga', 'bisa', 'jadi', 'aplikasi', 'lucu', 'padahal', 'jaklingko', 'bisa', 'mikrotik', 'dan', 'tije', 'masa', 'gak', 'bisa', 'baca', 'untuk', 'pergi', 'kemana']","['aplikadi', 'update', 'perasaan', 'pake', 'tije', '1a', 'pantai', 'maju', 'eh', 'mah', 'kaga', 'aplikasi', 'lucu', 'jaklingko', 'mikrotik', 'tije', 'baca', 'pergi', 'kemana']","['aplikadi', 'update', 'asa', 'pake', 'tije', '1a', 'pantai', 'maju', 'eh', 'mah', 'kaga', 'aplikasi', 'lucu', 'jaklingko', 'mikrotik', 'tije', 'baca', 'pergi', 'mana']",aplikadi update asa pake tije 1a pantai maju eh mah kaga aplikasi lucu jaklingko mikrotik tije baca pergi mana
sedih gak ada jalur jaklingko kwk nya,2,0,,2024-03-27 04:30:03,"Halo kak Isa H terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @jaklingkoindonesia",2024-03-27 13:18:13,"['sedih', 'gak', 'ada', 'jalur', 'jaklingko', 'kwk', 'nya']","['sedih', 'jalur', 'jaklingko', 'kwk']","['sedih', 'jalur', 'jaklingko', 'kwk']",sedih jalur jaklingko kwk
nice,5,0,,2024-03-21 16:16:35,"Halo kak EvHKraken (Dandi Gunawan), terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya yang Anda alami. Untuk membantu kami memahami kendala yang Anda alami, mohon bantuan Anda menginformasikan kendala yang dimaksud dengan menghubungi kami JakLingko Customer Care : Call Center : 021-30200111",2024-03-31 14:08:27,['nice'],['nice'],['nice'],nice
kalau jam sibuk usahakan ga terkendala app nya. ini jam2 pulang kantor sering banget eror.,1,0,,2024-03-21 10:02:32,"Halo kak Res T, terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya yang Anda alami. Untuk membantu kami memahami kendala yang Anda alami, mohon bantuan Anda menginformasikan kendala yang dimaksud dengan menghubungi kami JakLingko Customer Care : Call Center : 021-30200111 WhatsApp : 081260001440",2024-03-22 14:24:44,"['kalau', 'jam', 'sibuk', 'usahakan', 'ga', 'terkendala', 'app', 'nya', '.', 'ini', 'jam2', 'pulang', 'kantor', 'sering', 'banget', 'eror', '.']","['jam', 'sibuk', 'usahakan', 'terkendala', 'app', 'jam2', 'pulang', 'kantor', 'banget', 'eror']","['jam', 'sibuk', 'usaha', 'kendala', 'app', 'jam2', 'pulang', 'kantor', 'banget', 'eror']",jam sibuk usaha kendala app jam2 pulang kantor banget eror
